,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,Jun,,,,Jul,,,,Aug,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,
"Common Waxbill (<em class=""sci"">Estrilda astrild</em>)",0,0,0,0,0,0,6.6E-6,0,0,0,0,0,0,0,0,0,0,0,1.03E-5,0,0,0,0,0,0,0,0,0,0,0,1.33E-5,0,0,0,0,0,1.03E-5,0,1.07E-5,0,0,0,0,0,0,0,0,0
"Black-rumped Waxbill (<em class=""sci"">Estrilda troglodytes</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8E-5,0,0,7.1E-6,0,1.15E-5,0,0,0,0,0,0,0,1.32E-5,0,9.0E-6,2.19E-5,5.58E-5,4.15E-5,1.57E-5,1.03E-5,2.96E-5,4.29E-5,0,0,0,0,0,0,0,0,0
"Crimson-rumped Waxbill (<em class=""sci"">Estrilda rhodopyga</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17E-5,0,0,0,9.6E-6,0
"waxbill sp. (<em class=""sci"">Estrilda sp.</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33E-5,9.0E-6,1.1E-5,0,0,0,0,0,0,1.65E-5,0,0,0,8.5E-6,0,0,0,0
"Cut-throat (<em class=""sci"">Amadina fasciata</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8E-6,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,6.4E-6
"Zebra Waxbill (<em class=""sci"">Amandava subflava</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12E-5,0,0,0,0.0015,0,3.3E-5,0,0,0,0,0,0,0,0
"Red Avadavat (<em class=""sci"">Amandava amandava</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33E-5,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015
"Red-cheeked Cordonbleu (<em class=""sci"">Uraeginthus bengalus</em>)",0.0015,3.34E-5,0,0,0,8.7E-6,6.6E-6,0,2.05E-5,2.1E-5,0,0,0,9.5E-6,8.8E-6,0,0,0,2.06E-5,2.84E-5,3.22E-5,2.29E-5,0,2.99E-5,7.52E-5,0,0,0,0,0,0,1.8E-5,0,5.58E-5,0,7.9E-6,2.05E-5,2.96E-5,0,3.3E-5,0,0.0015,1.17E-5,0,0,0,0,0
"Blue-capped Cordonbleu (<em class=""sci"">Uraeginthus cyanocephalus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cordonbleu sp. (<em class=""sci"">Uraeginthus sp.</em>)",0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Green-winged Pytilia (<em class=""sci"">Pytilia melba</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04E-5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red-throated Twinspot (<em class=""sci"">Hypargos niveoguttatus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5E-6,0,0,0,0
"Red-billed Firefinch (<em class=""sci"">Lagonosticta senegala</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0E-6,0,1.03E-5,0,0,0,0,1.0E-5,0,0,0,0,0,1.32E-5,0,0,0,1.12E-5,0,7.9E-6,1.03E-5,0,0,0,1.12E-5,0,0.0015,0,0,1.21E-5,0,0
"African Firefinch (<em class=""sci"">Lagonosticta rubricata</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0
"estrildid finch sp. (<em class=""sci"">Estrildidae sp.</em>)",0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,1.07E-5,0,0,0,0,0,0,0,0,0,0,0,0,1.12E-5,0,0,0,0,0,8.2E-6,0,1.1E-5,0,0,0,0,0,0
"Pin-tailed Whydah (<em class=""sci"">Vidua macroura</em>)",0.0015048,0.0015508,0.001634,0.0016147,0.0017912,0.0015504,0.0011242,0.0013488,0.0017258,0.0016892,0.0019587,0.0020892,0.0024407,0.002701,0.0029764,0.0037444,0.0044528,0.0048679,0.005821,0.0057426,0.0066205,0.0059155,0.0059791,0.0062393,0.0065175,0.0061557,0.006067,0.0063284,0.0077976,0.0071519,0.008363,0.0100078,0.0109152,0.0120279,0.0133891,0.0132515,0.0111811,0.0075172,0.0075975,0.0062709,0.0056842,0.0048864,0.0036864,0.0032431,0.003279,0.0029271,0.0023483,0.0019838
"Togo Paradise-Whydah (<em class=""sci"">Vidua togoensis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0
"Broad-tailed Paradise-Whydah (<em class=""sci"">Vidua obtusa</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,1.12E-5,0,7.9E-6,0,0,0,9.06E-5,0,0,0,0,0,0,0,0
"Village Indigobird (<em class=""sci"">Vidua chalybeata</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"paradise-whydah sp. (<em class=""sci"">Vidua sp. (paradise-whydah sp.)</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.0015,0,0,0,0,0,0,0,0
"whydah sp. (<em class=""sci"">Vidua sp. (whydah sp.)</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2E-6,0,0,0,0,0,0,0,0
"Vidua sp. (<em class=""sci"">Vidua sp.</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"House Sparrow (<em class=""sci"">Passer domesticus</em>)",0.1207634,0.1165083,0.1189763,0.1246371,0.1290268,0.1402939,0.1494462,0.1372415,0.1417815,0.1461531,0.153731,0.157646,0.1665143,0.1714394,0.1735081,0.1784104,0.1823653,0.1833302,0.1885579,0.1848197,0.1695799,0.1628376,0.1581181,0.1625404,0.1693175,0.168082,0.1661163,0.1586859,0.1485678,0.1327744,0.1214437,0.1107171,0.1037331,0.1049228,0.1077555,0.1140402,0.1230228,0.1231898,0.124446,0.1266614,0.1249523,0.1214903,0.1188908,0.1186567,0.12465,0.1257454,0.1328739,0.1255491
"Eurasian Tree Sparrow (<em class=""sci"">Passer montanus</em>)",1.26E-5,1.67E-5,4.93E-5,4.31E-5,0,1.307E-4,3.97E-5,0,6.16E-5,3.15E-5,4.02E-5,0.0015,9.4E-6,0.0015,3.5E-5,1.36E-5,0.0015,6.04E-5,3.09E-5,2.84E-5,3.22E-5,2.29E-5,0.0015,0,0.0015,1.31E-5,1.34E-5,1.94E-5,1.33E-5,0,0,0,1.1E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6E-6,0
"Sudan Golden Sparrow (<em class=""sci"">Passer luteus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gray Wagtail (<em class=""sci"">Motacilla cinerea</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0
"Eastern Yellow Wagtail (<em class=""sci"">Motacilla tschutschensis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67E-5,6.949E-4,7.68E-5,2.23E-5,0.0011201,1.1E-4,0,0,0,0,0,0,0,0,0,0,0,0
"Citrine Wagtail (<em class=""sci"">Motacilla citreola</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92E-5,0
"White Wagtail (<em class=""sci"">Motacilla alba</em>)",6.926E-4,3.752E-4,3.284E-4,4.006E-4,5.307E-4,1.916E-4,1.521E-4,4.203E-4,4.828E-4,4.092E-4,4.319E-4,1.542E-4,9.42E-5,5.71E-5,1.488E-4,2.865E-4,1.169E-4,8.6E-6,2.679E-4,0.0015,2.15E-5,0,0,0,0,3.94E-5,2.55E-4,8.72E-5,1.2E-4,1.457E-4,8.0E-5,1.354E-4,4.39E-5,4.47E-5,5.19E-5,3.928E-4,7.796E-4,3.359E-4,6.868E-4,4.862E-4,1.46E-4,2.635E-4,6.809E-4,9.738E-4,4.421E-4,9.676E-4,2.599E-4,5.539E-4
"Olive-backed Pipit (<em class=""sci"">Anthus hodgsoni</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,9.661E-4,0,0,0,0,0,0,0
"Red-throated Pipit (<em class=""sci"">Anthus cervinus</em>)",7.56E-5,1.334E-4,1.15E-4,3.08E-5,0,0,1.98E-5,9.8E-6,0.0015,0,0,0,0,9.5E-6,1.75E-5,4.77E-5,9.0E-5,8.6E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12E-5,1.037E-4,6.598E-4,0.0012002,0.0013632,0.0012233,0.0011784,0.0018648,4.282E-4,1.291E-4,5.93E-5,1.23E-5,2.661E-4,2.599E-4,1.353E-4
"Siberian Pipit (<em class=""sci"">Anthus japonicus</em>)",2.52E-5,0,2.46E-5,1.85E-5,9.5E-6,8.7E-6,6.6E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.087E-4,7.51E-5,9.89E-5,6.74E-5,1.208E-4,5.87E-5,2.54E-5,2.46E-5,3.63E-5,1.54E-4,2.319E-4
"American Pipit (<em class=""sci"">Anthus rubescens</em>)",0.0882933,0.0815991,0.0814606,0.0763921,0.0694227,0.054717,0.0420301,0.0518883,0.0461339,0.0406774,0.0363912,0.0336241,0.0330202,0.0317657,0.0229272,0.0111242,0.0036881,0.0011565,4.533E-4,4.963E-4,3.112E-4,2.522E-4,2.853E-4,5.183E-4,6.768E-4,7.35E-4,6.845E-4,9.401E-4,9.464E-4,8.609E-4,7.069E-4,9.656E-4,0.0019417,0.0053048,0.0104748,0.0214522,0.0343229,0.0474248,0.0669822,0.0949693,0.1160327,0.119393,0.1264748,0.1194188,0.1153412,0.1078923,0.1060797,0.0937625
"Siberian/American Pipit (<em class=""sci"">Anthus japonicus/rubescens</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9E-6,0,1.65E-5,0,0,0,0,0,0,0,0
"Sprague's Pipit (<em class=""sci"">Anthus spragueii</em>)",5.67E-5,5.0E-5,5.75E-5,1.171E-4,7.58E-5,7.84E-5,4.63E-5,9.8E-6,5.14E-5,3.15E-5,1.0E-5,7.0E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,3.14E-5,5.13E-5,7.9E-5,2.468E-4,5.851E-4,5.62E-5,2.2E-5,7.04E-5,2.54E-5,0.0015,0.0015,9.62E-5,2.58E-5
"pipit sp. (<em class=""sci"">Anthus sp.</em>)",1.26E-5,0,0,6.2E-6,0,0,0,0,0,0,0,0,9.4E-6,0,0,0,0,0,1.03E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1E-5,0,1.04E-5,1.57E-5,1.03E-5,5.93E-5,2.15E-5,8.2E-6,1.12E-5,1.1E-5,0,8.5E-6,0,0,0,6.4E-6
"Brambling (<em class=""sci"">Fringilla montifringilla</em>)",1.133E-4,1.668E-4,2.053E-4,9.24E-5,2.84E-5,1.219E-4,1.521E-4,3.91E-5,6.16E-5,9.44E-5,1.0E-5,7.0E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25E-5,2.416E-4,3.52E-5,6.77E-5,2.46E-5,2.42E-5,2.502E-4,1.353E-4
"Evening Grosbeak (<em class=""sci"">Coccothraustes vespertinus</em>)",0.0011082,8.171E-4,0.0011824,0.0012388,0.0013269,0.0012368,0.0013358,0.0018179,0.0023113,0.0022033,0.0018884,0.0017737,0.0019413,0.0029864,0.0034667,0.0040241,0.0053073,0.0052131,0.0045125,0.0051613,0.0050432,0.0076352,0.0074411,0.0091795,0.0072069,0.0064182,0.005275,0.0047391,0.0039188,0.0036819,0.0027477,0.0020665,0.0015687,0.0012061,0.001089,0.0016181,0.0024927,0.0031412,0.0031012,0.0028347,0.0016626,0.0014165,0.0014205,0.0012363,0.001007,0.0012579,0.0017131,0.0011594
"Hawfinch (<em class=""sci"">Coccothraustes coccothraustes</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Common Rosefinch (<em class=""sci"">Carpodacus erythrinus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36E-5,0,0,0,0,0,0,0,0,0,0,0,0
"Pine Grosbeak (<em class=""sci"">Pinicola enucleator</em>)",6.3E-6,2.5E-5,2.46E-5,1.23E-5,9.5E-6,1.74E-5,3.31E-5,0.0015,2.05E-5,3.15E-5,1.0E-5,4.21E-5,4.71E-5,2.85E-5,7.0E-5,2.05E-5,9.9E-5,1.554E-4,1.236E-4,5.743E-4,7.726E-4,0.0013642,0.0020445,0.0020133,0.0020179,0.0024019,0.0024966,0.0024035,0.0019194,0.0022515,0.0014805,8.122E-4,5.266E-4,2.457E-4,2.489E-4,2.278E-4,1.334E-4,1.778E-4,1.502E-4,1.318E-4,1.236E-4,8.78E-5,3.52E-5,2.54E-5,1.23E-5,1.21E-5,9.6E-6,6.4E-6
"Gray-crowned Rosy-Finch (<em class=""sci"">Leucosticte tephrocotis</em>)",1.007E-4,2.001E-4,4.93E-5,1.048E-4,2.464E-4,1.219E-4,1.984E-4,1.466E-4,3.287E-4,1.469E-4,3.716E-4,2.524E-4,4.429E-4,5.041E-4,2.801E-4,3.069E-4,2.789E-4,3.711E-4,2.37E-4,5.388E-4,7.618E-4,9.974E-4,0.001676,0.0025216,0.0028827,0.002415,0.0023087,0.0027136,0.0017061,0.001841,9.07E-4,0.0010017,4.937E-4,4.244E-4,2.074E-4,2.357E-4,1.949E-4,2.766E-4,1.288E-4,1.73E-4,1.348E-4,2.416E-4,5.87E-5,1.355E-4,1.965E-4,7.26E-5,8.66E-5,1.224E-4
"Black Rosy-Finch (<em class=""sci"">Leucosticte atrata</em>)",0.0015,0,0,0,0,1.74E-5,3.31E-5,9.8E-6,2.05E-5,0,0,0.0015,9.4E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1E-5,0.0015,0.0015,0,0,0,0.0015
"rosy-finch sp. (<em class=""sci"">Leucosticte sp.</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6E-6,0
"House Finch (<em class=""sci"">Haemorhous mexicanus</em>)",0.4021017,0.3972653,0.4046917,0.4184894,0.4394814,0.4503654,0.4600893,0.455139,0.4721769,0.4849283,0.4990809,0.5099694,0.5285769,0.5325218,0.5284993,0.5269921,0.5300494,0.5301911,0.5330559,0.513169,0.4951768,0.475352,0.463038,0.4722521,0.4804287,0.4725092,0.4697055,0.4641566,0.4640977,0.4484398,0.4406386,0.4474796,0.4491591,0.450794,0.4620833,0.4751072,0.4821923,0.4774779,0.47849,0.4788348,0.4627379,0.4430487,0.4435953,0.4269626,0.4411259,0.4398669,0.4441643,0.4215737
"Purple Finch (<em class=""sci"">Haemorhous purpureus</em>)",0.0310912,0.0297565,0.0291406,0.0303596,0.0321477,0.0350931,0.0358737,0.0436002,0.0498629,0.0558697,0.0622357,0.0664629,0.0670958,0.0666793,0.0665406,0.0638944,0.065577,0.0668209,0.0773621,0.0848275,0.0880197,0.084732,0.0805924,0.0767751,0.0685342,0.0575411,0.0471397,0.0356447,0.0265119,0.0243298,0.0209009,0.019447,0.0216879,0.0203927,0.0207733,0.0250342,0.0288144,0.0298022,0.0347681,0.0351943,0.0329372,0.0322613,0.0299604,0.0308983,0.0321388,0.0343635,0.0406533,0.0321538
"House/Purple Finch (<em class=""sci"">Haemorhous mexicanus/purpureus</em>)",7.619E-4,7.587E-4,7.718E-4,9.491E-4,0.0010425,0.0024301,0.0040932,0.0012706,0.00113,0.001364,0.0011752,0.0012199,0.0013758,9.891E-4,0.001103,0.0010299,0.0010345,0.0012946,9.684E-4,0.0012761,0.0011481,0.001135,0.0013432,0.001196,0.001128,0.0012075,0.0010067,0.0010854,0.001173,9.933E-4,9.87E-4,9.385E-4,9.873E-4,7.483E-4,7.052E-4,6.991E-4,9.437E-4,8.495E-4,0.0011589,9.312E-4,0.0011571,9.443E-4,7.279E-4,8.976E-4,8.842E-4,9.797E-4,0.0011934,8.824E-4
"Cassin's Finch (<em class=""sci"">Haemorhous cassinii</em>)",0.0016559,0.0020594,0.0020035,0.0027549,0.0029001,0.0028656,0.0030947,0.0031276,0.0037597,0.0039555,0.0051729,0.0049987,0.0059557,0.0067621,0.0067495,0.0088257,0.0100839,0.0103485,0.0134964,0.0206308,0.0254627,0.033636,0.0403794,0.0390304,0.0307953,0.0263161,0.0242678,0.0194699,0.0149821,0.0135092,0.0105238,0.007463,0.0053534,0.00459,0.003661,0.003307,0.0038775,0.0046625,0.0045821,0.0048206,0.0034937,0.0029758,0.0024654,0.0020068,0.0024316,0.0020683,0.003176,0.0018035
"Purple/Cassin's Finch (<em class=""sci"">Haemorhous purpureus/cassinii</em>)",3.78E-5,2.5E-5,4.11E-5,3.7E-5,6.63E-5,3.48E-5,8.6E-5,2.93E-5,3.08E-5,4.2E-5,9.04E-5,3.51E-5,3.77E-5,1.046E-4,1.313E-4,9.55E-5,7.2E-5,1.73E-5,1.133E-4,1.063E-4,2.146E-4,2.178E-4,3.566E-4,2.292E-4,2.381E-4,1.838E-4,1.879E-4,1.454E-4,6.66E-5,5.3E-5,5.34E-5,2.71E-5,7.68E-5,7.82E-5,5.19E-5,1.57E-5,6.15E-5,1.087E-4,0,7.42E-5,5.62E-5,6.59E-5,0,3.39E-5,4.91E-5,2.42E-5,3.85E-5,1.29E-5
"Haemorhous sp. (<em class=""sci"">Haemorhous sp.</em>)",1.89E-5,2.5E-5,2.46E-5,2.47E-5,2.84E-5,3.48E-5,3.97E-5,3.91E-5,3.08E-5,2.1E-5,3.01E-5,4.91E-5,4.71E-5,1.046E-4,1.313E-4,4.09E-5,1.8E-5,6.04E-5,4.12E-5,3.54E-5,4.29E-5,3.44E-5,7.13E-5,2.99E-5,3.76E-5,3.94E-5,2.68E-5,5.81E-5,8.0E-5,2.65E-5,2.67E-5,6.32E-5,0,1.12E-5,1.04E-5,2.36E-5,3.08E-5,9.9E-6,3.22E-5,6.59E-5,8.99E-5,3.29E-5,3.52E-5,4.23E-5,4.91E-5,6.05E-5,3.85E-5,2.58E-5
"European Greenfinch (<em class=""sci"">Chloris chloris</em>)",0,0,0,6.2E-6,0,8.7E-6,0,0,0,0,0,0,9.4E-6,0,0,0,0,1.73E-5,4.12E-5,2.84E-5,1.07E-5,0,0,0,0,2.63E-5,1.34E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2E-5,0,0,0,0,0,0
"Oriental Greenfinch (<em class=""sci"">Chloris sinica</em>)",0.0015,0,0.0015,6.2E-6,0,0,6.6E-6,9.8E-6,0.0015,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9E-6,0,0,0,0,0,0,1.23E-5,0,9.6E-6,0.0015
"White-rumped Seedeater (<em class=""sci"">Crithagra leucopygia</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31E-5,1.34E-5,1.94E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yellow-fronted Canary (<em class=""sci"">Crithagra mozambica</em>)",0,2.5E-5,2.46E-5,1.23E-5,2.84E-5,8.7E-6,1.32E-5,9.8E-6,3.08E-5,0,0,7.0E-6,9.4E-6,9.5E-6,0,6.8E-6,0,0,0,3.54E-5,0.0015,1.15E-5,0.0015,1.99E-5,0,0,2.68E-5,1.94E-5,5.33E-5,5.3E-5,0.0015,5.41E-5,5.49E-5,3.35E-5,2.07E-5,1.414E-4,6.15E-5,4.94E-5,3.22E-5,4.12E-5,2.25E-5,4.39E-5,2.35E-5,2.54E-5,2.46E-5,2.42E-5,9.6E-6,1.29E-5
"Black-throated Canary (<em class=""sci"">Crithagra atrogularis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streaky Seedeater (<em class=""sci"">Crithagra striolata</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Redpoll (<em class=""sci"">Acanthis flammea</em>)",1.322E-4,2.168E-4,7.39E-5,3.7E-5,2.18E-4,1.394E-4,1.323E-4,7.82E-5,1.03E-5,0.0015,0.0015,0,0,0,0,0,9.0E-6,0,0,0,0,1.15E-5,4.874E-4,1.0E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82E-5,1.21E-5,1.925E-4,1.159E-4
"Red Crossbill (<em class=""sci"">Loxia curvirostra</em>)",0.0035637,0.0031432,0.0032269,0.0034021,0.0030612,0.0029266,0.0024797,0.0033817,0.0027736,0.0031791,0.0033147,0.0030217,0.0027988,0.0032336,0.0044646,0.0045697,0.0040839,0.0049369,0.0053986,0.0068415,0.007597,0.0087243,0.0092598,0.0103955,0.0089741,0.0096339,0.0093286,0.0081116,0.0076243,0.0082645,0.0076428,0.0056581,0.0052876,0.005517,0.0043455,0.0035348,0.0034774,0.0035561,0.0044211,0.005694,0.0059988,0.0066323,0.005236,0.0050213,0.0047527,0.005068,0.0053223,0.0039162
"Cassia Crossbill (<em class=""sci"">Loxia sinesciuris</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07E-5,4.12E-5,1.12E-5,4.39E-5,0,3.39E-5,0,0,1.92E-5,6.4E-6
"Red/Cassia Crossbill (<em class=""sci"">Loxia curvirostra/sinesciuris</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1E-5,0,0,0,0,0,0
"White-winged Crossbill (<em class=""sci"">Loxia leucoptera</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89E-5,1.93E-5
"crossbill sp. (<em class=""sci"">Loxia sp.</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21E-5,0,6.4E-6
"European Goldfinch (<em class=""sci"">Carduelis carduelis</em>)",4.41E-5,6.67E-5,4.93E-5,3.7E-5,3.79E-5,5.23E-5,3.97E-5,3.91E-5,3.08E-5,1.889E-4,1.607E-4,7.01E-5,8.48E-5,5.71E-5,1.313E-4,1.091E-4,1.439E-4,5.18E-5,1.854E-4,1.631E-4,7.51E-5,1.376E-4,1.426E-4,1.894E-4,1.755E-4,1.575E-4,1.879E-4,1.357E-4,1.466E-4,1.987E-4,1.067E-4,4.51E-5,1.426E-4,2.569E-4,3.526E-4,3.613E-4,2.359E-4,2.766E-4,1.073E-4,1.813E-4,1.46E-4,2.086E-4,2.465E-4,1.016E-4,1.474E-4,9.68E-5,1.347E-4,9.02E-5
"Gray-crowned Goldfinch (<em class=""sci"">Carduelis caniceps</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"European Serin (<em class=""sci"">Serinus serinus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Island Canary (<em class=""sci"">Serinus canaria</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8E-6,0,0,0,0,0,1.15E-5,0,0,0.0015,0,0,9.7E-6,1.33E-5,0,0,9.0E-6,1.1E-5,0,1.04E-5,0,0,0,0,8.2E-6,0,0,0,0,0,0,0,0
"Serinus sp. (<em class=""sci"">Serinus sp.</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34E-5,9.7E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pine Siskin (<em class=""sci"">Spinus pinus</em>)",0.043709,0.042588,0.0410136,0.0426366,0.0446675,0.0566942,0.0474392,0.0467278,0.0492568,0.0495955,0.050785,0.0504711,0.0481544,0.0455466,0.0411885,0.0349755,0.0269594,0.0242098,0.0246747,0.0264089,0.0245399,0.0258403,0.0268404,0.0272495,0.0257693,0.023993,0.0228719,0.0199545,0.0167415,0.0164627,0.0140984,0.0120743,0.0122207,0.013033,0.0141669,0.0178075,0.024701,0.0269771,0.0339418,0.0415558,0.0468332,0.0475244,0.0449407,0.0478166,0.0475881,0.050124,0.053319,0.0448104
